,Mexico,Canada,China,France,Italy,Chile,India,Indonesia,Vietnam,Ireland,Thailand,Australia,Brazil,United Kingdom,New Zealand,Peru,Spain,Guatemala,Netherlands,Colombia,Germany,Costa Rica,Ecuador,Philippines,Argentina,Switzerland,Austria,Honduras,Cote d'Ivoire,Japan,Norway,Turkey,"Korea, South",Belgium-Luxembourg,Nicaragua,Malaysia,Poland,Denmark,Russia,Taiwan,Madagascar,Dominican Republic,Greece,Sweden,Uruguay,Israel,South Africa,Ghana,Iceland,Sri Lanka,Morocco,El Salvador,Ethiopia,Portugal,Kenya,Jamaica,Latvia,Panama,Hong Kong,Pakistan,Ukraine,Bolivia,"Other Pacific Islands, NEC",Egypt
1999,"5,421.3","9,001.5",979.1,"1,980.7","1,450.7","1,180.4",945.0,959.9,293.3,339.1,"2,023.4","1,169.6","1,304.9","1,152.9",866.7,251.3,758.3,671.1,"1,094.6",868.5,632.0,850.6,"1,014.1",624.9,641.4,138.7,43.7,233.9,296.3,414.8,199.4,174.8,176.0,141.6,156.2,286.3,99.9,374.6,381.6,360.4,27.0,195.6,92.8,271.1,78.2,99.8,130.4,41.9,239.4,34.2,67.9,122.2,23.7,79.8,34.7,76.9,1.2,175.7,80.9,39.1,1.5,13.7,23.1,14.2
2000,"5,833.2","9,853.5","1,119.9","1,866.8","1,571.4","1,388.2",988.3,923.0,493.9,321.0,"2,253.0","1,477.1","1,063.7","1,157.1",960.7,218.0,721.0,686.8,"1,269.9",807.8,634.7,847.7,713.9,607.8,664.1,133.7,69.4,361.7,258.3,428.5,195.7,142.5,196.8,133.9,212.3,233.6,122.9,427.5,334.2,324.6,37.9,206.1,110.7,276.9,90.7,96.9,163.2,70.3,190.0,40.2,62.4,182.8,22.3,72.5,34.0,68.8,1.6,143.4,91.1,39.5,1.6,16.0,27.3,14.5
2001,"5,943.9","10,991.9","1,232.5","1,836.7","1,586.9","1,375.6",868.3,868.1,627.2,287.2,"2,050.8","1,710.7",901.3,"1,103.2","1,070.6",223.5,691.5,590.0,"1,356.2",642.6,611.8,841.8,762.3,554.3,627.3,125.4,118.2,338.1,226.5,373.2,159.6,152.4,210.2,154.3,173.4,206.1,147.0,417.9,297.7,324.2,83.9,219.1,108.5,343.6,79.7,106.3,126.5,57.0,152.4,31.6,57.2,100.6,21.0,70.4,38.6,66.4,2.0,142.3,82.0,37.3,2.8,15.9,68.4,15.4
2002,"6,162.8","11,558.5","1,590.0","2,109.1","1,825.6","1,547.5",964.4,912.8,795.7,333.7,"1,818.8","1,871.8","1,015.3","1,175.0","1,125.1",263.3,775.6,642.8,"1,514.4",655.8,658.0,839.2,839.9,573.3,600.4,160.9,113.6,347.4,279.7,402.5,169.1,148.9,227.0,158.4,180.1,232.2,191.1,424.5,348.0,251.5,120.9,239.9,137.9,377.7,50.4,114.5,154.2,27.9,167.7,32.9,71.1,76.3,17.6,89.7,38.1,77.4,2.7,136.9,98.2,29.1,4.9,20.4,62.8,17.3
2003,"7,023.5","11,607.2","2,111.4","2,492.3","2,128.3","1,757.1","1,032.8","1,045.3",964.8,"1,295.1","2,009.7","2,082.2","1,381.5","1,230.1","1,188.8",309.0,903.4,735.4,"1,637.4",691.3,753.0,882.8,917.4,660.6,554.3,192.4,209.8,335.2,410.2,429.6,180.1,212.8,232.1,194.4,185.2,329.2,227.1,472.7,337.8,248.0,181.3,262.5,133.8,400.7,123.3,141.5,169.8,11.4,147.7,39.7,91.3,109.1,25.2,85.2,40.2,79.8,2.8,147.8,76.3,33.1,8.6,20.8,65.4,17.7
2004,"7,993.1","12,732.9","2,463.8","2,578.5","2,346.3","1,909.2","1,138.3","1,246.1",923.9,"2,008.2","2,021.4","2,442.5","1,449.5","1,351.2","1,475.3",392.6,944.7,754.6,"1,648.4",749.9,872.0,896.0,879.0,721.1,610.7,224.4,370.4,388.4,467.9,456.1,162.5,202.7,253.9,254.3,231.3,542.3,236.3,452.9,312.1,272.6,138.0,235.8,145.2,422.5,362.0,169.3,173.0,22.9,157.7,43.2,90.3,100.2,33.3,91.8,49.2,76.4,9.3,139.6,68.0,36.7,10.0,30.4,82.6,19.8
2005,"9,106.6","13,665.9","2,850.4","2,797.5","2,641.1","2,157.7","1,136.8","1,449.8","1,027.9","2,449.6","2,207.1","2,394.4","1,764.7","1,364.3","1,518.0",494.2,"1,030.9",872.0,"1,604.4","1,014.2",960.2,911.1,963.5,777.4,782.6,228.1,475.4,434.9,615.6,508.5,170.9,231.5,294.5,297.8,246.4,597.0,228.6,411.6,405.9,272.7,38.8,239.8,164.9,467.4,498.4,160.3,194.4,35.0,142.6,42.9,88.1,150.1,47.8,104.0,52.0,90.3,23.1,170.6,75.0,38.2,10.9,30.9,80.2,25.2
2006,"10,274.3","14,794.7","3,660.2","3,164.8","2,862.2","2,576.6","1,200.5","1,555.1","1,116.3","2,506.7","2,614.9","2,441.2","1,966.1","1,440.0","1,469.2",647.4,"1,113.5",857.1,"1,819.1","1,035.1","1,045.8","1,145.9","1,074.5",851.2,915.7,257.6,795.2,419.2,470.5,533.5,207.8,265.3,310.2,353.4,307.6,733.4,230.5,374.7,499.6,262.4,35.7,304.5,172.3,429.1,316.4,159.1,212.1,75.0,143.6,53.7,102.3,145.7,53.2,106.9,56.3,95.3,15.4,160.2,79.7,46.9,16.4,32.3,79.2,38.6
2007,"11,138.9","16,410.8","4,283.9","3,588.6","3,096.7","2,684.7","1,194.8","1,633.7","1,317.9","2,469.2","2,673.6","2,597.3","2,317.5","1,568.1","1,453.3",757.3,"1,190.0",989.7,"1,992.3","1,023.9","1,141.9","1,222.4","1,092.4",933.0,987.6,378.5,639.5,499.9,438.1,563.3,233.8,317.8,324.0,374.2,340.4,"1,046.1",268.6,383.0,574.0,280.1,40.3,300.0,266.5,472.6,347.7,177.5,181.7,58.7,127.3,54.8,118.4,182.2,69.5,109.7,50.7,100.0,9.3,156.1,78.2,53.2,15.3,37.6,68.1,45.9
2008,"11,801.1","18,997.6","4,910.5","3,569.4","3,286.2","2,846.2","1,511.6","2,155.9","1,474.9","2,573.7","3,100.7","2,317.8","2,244.4","1,596.9","1,511.1",900.7,"1,213.7","1,224.8","1,899.3","1,265.1","1,265.7","1,199.7","1,194.0","1,160.5","1,093.6",702.0,376.5,557.2,632.4,652.9,217.3,329.8,352.7,391.0,414.3,"1,743.1",293.3,385.6,447.5,328.1,35.3,275.1,218.4,479.3,132.5,183.4,180.8,35.5,104.0,52.7,139.6,237.7,117.0,108.9,63.7,108.8,15.7,154.3,81.3,80.8,16.6,60.0,71.5,45.7
